Model,Experiment,Parameter,Unit,RMSE,Std_Dev
base,Context Length,2,days,77.23457652973346,23.923811698604837
base,Context Length,4,days,84.37385869621485,33.142259590511024
base,Context Length,8,days,78.03053317301143,27.75443293932428
base,Context Length,10,days,72.39177626760764,27.61087620507562
base,Context Length,14,days,71.30861440143576,23.69364493486273
base,Forecast Horizon,4,hours,38.987568384494544,21.231946393233248
base,Forecast Horizon,8,hours,59.51783546716293,36.36679833315055
base,Forecast Horizon,12,hours,62.2143352594377,31.705959114014455
base,Forecast Horizon,24,hours,72.52757379911091,28.590086741716803
base,Forecast Horizon,48,hours,71.88826967586071,27.152100759929652
