Model,Experiment,Parameter,Unit,RMSE,Std_Dev,N_Windows
tiny,Context Length,2,days,159.74028817201366,107.74938521551947,20
tiny,Context Length,4,days,163.87097991519363,141.52711976391888,20
tiny,Context Length,8,days,137.595224894536,103.923190966449,20
tiny,Context Length,10,days,127.27694645196138,113.53615121129056,20
tiny,Context Length,14,days,75.92731897987646,57.28123584552577,20
tiny,Forecast Horizon,4,hours,96.71701652119208,74.76991732740096,20
tiny,Forecast Horizon,8,hours,118.1363104869791,93.70854894309504,20
tiny,Forecast Horizon,12,hours,139.61877770861247,117.89519759203198,20
tiny,Forecast Horizon,24,hours,123.33242495699172,108.25029511250916,20
tiny,Forecast Horizon,48,hours,130.37542873341442,119.81373001136839,20
mini,Context Length,2,days,158.4687913969691,107.41912375907994,20
mini,Context Length,4,days,155.4056007377034,112.18430536143873,20
mini,Context Length,8,days,124.53843936235936,83.3168082334963,20
mini,Context Length,10,days,120.98972585733631,97.17283263301975,20
mini,Context Length,14,days,79.00159031181717,58.16539162818719,20
mini,Forecast Horizon,4,hours,101.6360977175757,90.66194606800482,20
mini,Forecast Horizon,8,hours,142.56036847648573,102.91442063841365,20
mini,Forecast Horizon,12,hours,136.80932516235276,121.09529545021651,20
mini,Forecast Horizon,24,hours,128.55485445129867,111.66541463577649,20
mini,Forecast Horizon,48,hours,119.71774386856706,95.03392740170754,20
small,Context Length,2,days,155.63219141266637,102.34684702806923,20
small,Context Length,4,days,147.26846449459475,106.77494057843748,20
small,Context Length,8,days,127.86411503322601,91.91918605778409,20
small,Context Length,10,days,119.53550040771817,104.70923173655007,20
small,Context Length,14,days,76.73405127113814,62.92968370887791,20
small,Forecast Horizon,4,hours,97.36554771372413,85.8635725760934,20
small,Forecast Horizon,8,hours,119.89651345279594,103.40969564763138,20
small,Forecast Horizon,12,hours,130.75081775760847,115.1030696052269,20
small,Forecast Horizon,24,hours,121.0547383730174,106.4274454916708,20
small,Forecast Horizon,48,hours,115.92607422180659,100.73254535640169,20
base,Context Length,2,days,144.2210665978593,107.23506437836642,20
base,Context Length,4,days,153.3925804251473,110.39418776774102,20
base,Context Length,8,days,133.68616173817983,98.25897474686477,20
base,Context Length,10,days,118.43087327975249,99.32609475026503,20
base,Context Length,14,days,65.32861449843422,57.56473587158327,20
base,Forecast Horizon,4,hours,90.46210882242596,80.09358631291778,20
base,Forecast Horizon,8,hours,106.92108088121105,94.71719915373478,20
base,Forecast Horizon,12,hours,122.54805852493223,107.97144387035426,20
base,Forecast Horizon,24,hours,108.69898665102441,97.15715656486339,20
base,Forecast Horizon,48,hours,121.71425481806932,105.36400886401988,20
large,Context Length,2,days,147.19190648666643,100.06298545253034,20
large,Context Length,4,days,139.6582395051025,99.9434481451759,20
large,Context Length,8,days,119.1307188898555,86.47766171757135,20
large,Context Length,10,days,108.19836678831662,89.38316550695485,20
large,Context Length,14,days,69.57764498630948,55.56853513645778,20
large,Forecast Horizon,4,hours,88.90863257238506,81.24290709057662,20
large,Forecast Horizon,8,hours,104.34793005529032,97.74668984784897,20
large,Forecast Horizon,12,hours,124.50745559012634,112.10744129884561,20
large,Forecast Horizon,24,hours,115.76193310075227,96.59968500742374,20
large,Forecast Horizon,48,hours,108.71520697222032,95.12680983530086,20
