iter	Passed	Remaining
0	83	25063
1	95	14180
2	106	10543
3	117	8681
4	130	7715
5	146	7182
6	158	6654
7	171	6273
8	183	5945
9	197	5718
10	209	5497
11	221	5305
12	232	5127
13	244	4985
14	254	4843
15	265	4719
16	276	4606
17	287	4508
18	298	4417
19	309	4335
20	321	4265
21	332	4199
22	343	4137
23	354	4078
24	365	4018
25	376	3968
26	387	3921
27	399	3876
28	411	3843
29	423	3814
30	434	3772
31	446	3737
32	457	3702
33	472	3697
34	484	3664
35	494	3626
36	505	3590
37	515	3556
38	528	3534
39	545	3547
40	558	3530
41	570	3501
42	581	3478
43	594	3460
44	606	3437
45	618	3414
46	634	3416
47	648	3404
48	663	3396
49	677	3387
50	693	3387
51	710	3387
52	726	3384
53	738	3362
54	751	3347
55	771	3359
56	791	3374
57	802	3349
58	814	3325
59	825	3300
60	836	3277
61	847	3252
62	859	3232
63	870	3211
64	887	3207
65	899	3188
66	911	3169
67	924	3155
68	938	3142
69	951	3127
70	963	3106
71	974	3086
72	986	3067
73	998	3048
74	1009	3028
75	1020	3006
76	1031	2987
77	1042	2967
78	1053	2948
79	1064	2927
80	1075	2908
81	1086	2889
82	1102	2881
83	1113	2864
84	1127	2851
85	1138	2833
86	1152	2822
87	1166	2810
88	1178	2794
89	1193	2784
90	1207	2773
91	1224	2769
92	1238	2755
93	1260	2762
94	1273	2748
95	1286	2734
96	1299	2718
97	1312	2705
98	1325	2691
99	1340	2680
100	1355	2671
101	1371	2661
102	1388	2654
103	1406	2651
104	1418	2634
105	1429	2616
106	1440	2597
107	1450	2579
108	1461	2561
109	1472	2544
110	1484	2527
111	1495	2509
112	1506	2493
113	1517	2475
114	1528	2458
115	1539	2441
116	1550	2424
117	1561	2407
118	1575	2396
119	1586	2380
120	1597	2363
121	1608	2347
122	1619	2330
123	1631	2316
124	1649	2309
125	1661	2294
126	1674	2281
127	1686	2266
128	1697	2250
129	1709	2234
130	1720	2219
131	1731	2203
132	1743	2188
133	1754	2173
134	1765	2157
135	1776	2142
136	1787	2126
137	1798	2111
138	1810	2096
139	1820	2080
140	1836	2070
141	1847	2055
142	1858	2040
143	1869	2024
144	1881	2010
145	1892	1996
146	1904	1982
147	1919	1971
148	1930	1956
149	1941	1941
150	1952	1926
151	1963	1912
152	1975	1897
153	1986	1883
154	1997	1868
155	2008	1854
156	2020	1839
157	2031	1825
158	2042	1810
159	2053	1796
160	2065	1783
161	2079	1771
162	2090	1756
163	2101	1743
164	2113	1728
165	2124	1715
166	2138	1703
167	2150	1689
168	2163	1676
169	2174	1662
170	2185	1648
171	2196	1634
172	2207	1620
173	2217	1606
174	2229	1592
175	2240	1578
176	2251	1564
177	2261	1550
178	2273	1537
179	2285	1523
180	2296	1509
181	2307	1496
182	2318	1482
183	2329	1468
184	2340	1454
185	2351	1441
186	2362	1427
187	2373	1414
188	2391	1404
189	2404	1391
190	2419	1380
191	2434	1369
192	2446	1356
193	2458	1343
194	2468	1329
195	2480	1316
196	2491	1302
197	2502	1289
198	2513	1275
199	2524	1262
200	2535	1248
201	2546	1235
202	2559	1222
203	2570	1209
204	2582	1196
205	2594	1184
206	2607	1171
207	2620	1159
208	2638	1148
209	2650	1135
210	2662	1123
211	2674	1110
212	2685	1096
213	2697	1084
214	2708	1070
215	2719	1057
216	2730	1044
217	2742	1031
218	2753	1018
219	2764	1005
220	2774	991
221	2785	978
222	2800	967
223	2812	954
224	2823	941
225	2834	928
226	2845	915
227	2856	902
228	2869	889
229	2881	876
230	2892	863
231	2902	850
232	2913	837
233	2924	824
234	2936	812
235	2947	799
236	2958	786
237	2969	773
238	2981	760
239	2992	748
240	3003	735
241	3014	722
242	3025	709
243	3036	696
244	3050	684
245	3062	672
246	3072	659
247	3083	646
248	3095	634
249	3106	621
250	3117	608
251	3129	596
252	3139	583
253	3151	570
254	3162	558
255	3173	545
256	3184	532
257	3195	520
258	3207	507
259	3219	495
260	3233	483
261	3251	471
262	3263	459
263	3275	446
264	3287	434
265	3298	421
266	3309	409
267	3320	396
268	3331	383
269	3341	371
270	3352	358
271	3363	346
272	3374	333
273	3386	321
274	3397	308
275	3408	296
276	3419	283
277	3430	271
278	3442	259
279	3453	246
280	3464	234
281	3475	221
282	3486	209
283	3497	197
284	3509	184
285	3520	172
286	3530	159
287	3544	147
288	3556	135
289	3566	122
290	3578	110
291	3589	98
292	3600	86
293	3612	73
294	3626	61
295	3640	49
296	3651	36
297	3665	24
298	3677	12
299	3688	0
